Project ID,Project Town/City,Project ZIP Code,Electricity Utility Name,Natural Gas Utility Name,Audit Completed Date,NYSERDA Clean Energy Fund (CEF) Funding Amount (dollars),Georeference
859,Homer,13077,National Grid,,7/23/2018,2500,POINT (-76.18838 42.64362)
272,Scipio Center,13147,NYS Electric and Gas,,7/23/2017,2500,POINT (-76.565785 42.778874)
1267,Moravia,13118,NYS Electric and Gas,,7/22/2020,2304,POINT (-76.42153 42.71215)
929,Fort Plain,13339,National Grid,,7/22/2019,2540,POINT (-74.62332 42.93068)
659,Freeville,13068,NYS Electric and Gas,,7/22/2018,2500,POINT (-76.359264 42.505028)
924,Patterson,12563,NYS Electric and Gas,,7/21/2019,2500,POINT (-73.584646 41.488946)
1029,Madison,13402,NYS Electric and Gas,,7/21/2019,1890,POINT (-75.50622 42.90094)
420,Hoosick Falls,12090,National Grid,,7/21/2017,2500,POINT (-73.34957 42.90196)
322,Berne,12023,National Grid,,7/21/2017,4425,POINT (-74.14201 42.62536)
370,Franklin,13775,NYS Electric and Gas,,7/21/2017,2500,POINT (-75.16705 42.34168)
1145,Amsterdam,12010,National Grid,,7/20/2020,5622,POINT (-74.18893 42.93896)
443,Deruyter,13052,National Grid,,7/20/2017,2390,POINT (-75.8862 42.75689)
839,Woodburne,12788,NYS Electric and Gas,,7/19/2018,2500,POINT (-74.59753 41.76023)
780,Aurora,13026,NYS Electric and Gas,,7/19/2018,2500,POINT (-76.664773 42.746809)
848,Peru,12972,NYS Electric and Gas,,7/19/2018,2500,POINT (-73.544857 44.560576)
717,Portland,14769,National Grid,,7/19/2018,2729,POINT (-79.48654 42.36162)
794,Groton,13073,NYS Electric and Gas,,7/19/2018,2500,POINT (-76.36787 42.59064)
671,Hector,14841,NYS Electric and Gas,,7/18/2018,2500,POINT (-76.87639 42.50724)
147,Norwich,13815,NYS Electric and Gas,,7/18/2017,2500,POINT (-75.535533 42.549221)
254,Delhi,13753,NYS Electric and Gas,,7/18/2017,2429,POINT (-74.92022 42.27484)
367,Walton,13856,NYS Electric and Gas,,7/18/2017,2500,POINT (-75.164794 42.17512)
239,Wellsville,14895,National Grid,,7/18/2017,4059,POINT (-77.95925 42.12789)
240,Malta,12020,National Grid,,7/18/2017,1341,POINT (-73.79157 42.96294)
415,Walton,13856,NYS Electric and Gas,,7/18/2017,2500,POINT (-75.164794 42.17512)
1026,Hubbardsville,13355,NYS Electric and Gas,,7/17/2019,2500,POINT (-75.427828 42.809923)
762,Delanson,12053,National Grid,,7/17/2018,2450,POINT (-74.18579 42.74899)
827,Goshen,10924,Orange and Rockland Utilities,,7/17/2018,2500,POINT (-74.343148 41.383219)
793,Tully,13159,National Grid,,7/17/2018,2500,POINT (-76.10971 42.79814)
148,Lee Center,13363,National Grid,,7/17/2017,6000,POINT (-75.52652 43.3046)
404,Deruyter,13052,National Grid,,7/17/2017,2426,POINT (-75.8862 42.75689)
23,Union Springs,13160,NYS Electric and Gas,,7/17/2016,2500,POINT (-76.659767 42.826929)
1047,Sauquoit,13456,National Grid,,7/16/2019,2500,POINT (-75.25833 43.00464)
363,Ellenburg Depot,12935,NYS Electric and Gas,,7/16/2017,2058,POINT (-73.79423 44.90621)
392,Coeyman Hollow,12046,National Grid,,7/16/2017,2500,POINT (-73.89379 42.47095)
318,Cuyler,13158,National Grid,,7/16/2017,2500,POINT (-75.94973 42.73756)
356,Malone,12953,NYS Electric and Gas,,7/16/2017,1732,POINT (-74.29497 44.84879)
822,Pine City,14871,NYS Electric and Gas,,7/15/2018,2500,POINT (-76.910385 42.041287)
817,Poughkeepsie,12603,Central Hudson Gas and Electric,,7/15/2018,2497,POINT (-73.89913 41.69802)
829,Goshen,10924,Orange and Rockland Utilities,,7/15/2018,2500,POINT (-74.343148 41.383219)
368,Penn Yan,14527,NYS Electric and Gas,,7/14/2017,2500,POINT (-77.062296 42.662294)
371,Middle Granville,12849,NYS Electric and Gas,,7/13/2017,1860,POINT (-73.28362 43.43248)
357,Ellenburg Depot,12935,NYS Electric and Gas,,7/13/2017,2191,POINT (-73.79423 44.90621)
326,Fort Ann,12827,National Grid,,7/12/2017,2500,POINT (-73.49172 43.41455)
320,Newport,13416,National Grid,,7/12/2017,2090,POINT (-75.01815 43.19067)
54,Rome,13440,National Grid,,7/12/2016,2357,POINT (-75.45336 43.21516)
951,Poughkeepsie,12601,Central Hudson Gas and Electric,,7/1/2019,4579,POINT (-73.92915 41.70712)
728,Mahopac,10541,NYS Electric and Gas,,7/11/2018,2500,POINT (-73.750913 41.373567)
685,Spencer,14883,NYS Electric and Gas,,7/11/2018,2500,POINT (-76.484279 42.244555)
384,Ellenburg,12934,NYS Electric and Gas,,7/11/2017,1913,POINT (-73.83788 44.89381)
271,Rome,13440,National Grid,,7/11/2017,2500,POINT (-75.45336 43.21516)
847,N. Bangor,12966,National Grid,,7/10/2018,2500,POINT (-74.40121 44.84202)
761,Mexico,13114,National Grid,,7/10/2018,2500,POINT (-76.23148 43.45966)
324,Wolcott,14590,Rochester Gas and Electric,,7/10/2017,2500,POINT (-76.828703 43.240455)
419,Chazy,12921,NYS Electric and Gas,,7/10/2017,2499,POINT (-73.43552 44.88589)
34,Locke,13092,NYS Electric and Gas,,7/10/2017,5983,POINT (-76.42596 42.650898)
360,Greenwich,12834,National Grid,,7/10/2017,2500,POINT (-73.49696 43.08752)
1281,Buffalo,14211,National Grid,,6/8/2021,4063,POINT (-78.80541 42.90981)
1173,Eden,14075,National Grid,,6/8/2021,2500,POINT (-78.88597 42.66683)
297,Pulaski,13142,National Grid,,6/8/2017,140,POINT (-76.12753 43.56682)
314,Lacona,13083,National Grid,,6/8/2017,2500,POINT (-76.06941 43.64346)
1,Schaghticoke,12154,National Grid,,6/8/2016,2500,POINT (-73.58644 42.89705)
1003,North Salem,10560,NYS Electric and Gas,,6/7/2019,2500,POINT (-73.611084 41.333012)
998,Middletown,10940,Orange and Rockland Utilities,,6/7/2019,2500,POINT (-74.42261 41.44584)
293,LaFargeville,13656,National Grid,,6/7/2017,2500,POINT (-75.96182 44.19682)
49,Auburn,13021,NYS Electric and Gas,,6/7/2016,1500,POINT (-76.56591 42.92936)
26,Lisbon,13658,National Grid,,6/7/2016,1500,POINT (-75.31959 44.72815)
939,North Salem,10560,NYS Electric and Gas,,6/6/2019,5976,POINT (-73.611084 41.333012)
826,Walton,13856,NYS Electric and Gas,,6/6/2019,1996,POINT (-75.164794 42.17512)
274,Strykersville,14145,NYS Electric and Gas,,6/5/2017,2450,POINT (-78.431089 42.727885)
840,South New Berlin,13843,NYS Electric and Gas,,6/4/2018,2500,POINT (-75.373046 42.524079)
645,Bovina,13740,NYS Electric and Gas,,6/4/2018,2500,POINT (-74.78487 42.26207)
